seconds_elapsed,z,y,x,a,ave,std
24.26128955,8.465418931,0.983074633,6.50178194,6.575682788,2.11353845,1.711824662
24.27127246,2.959187659,1.525593949,3.325544352,3.65878151,1.611400389,0.847586191
24.28125537,-0.25073008,0.259417829,0.945189431,0.980143189,1.476395819,0.57413138
24.29123828,-1.681034686,-0.443029014,0.05541494,0.446481268,1.643039754,0.643555489
24.3012207,-1.512926775,-0.758572635,-0.165122027,0.776336091,1.84409088,0.544810796
24.31120337,-0.417068059,-1.422296071,-0.263082197,1.446422607,1.997293696,0.425314764
24.32118628,0.723075789,-1.967497758,-0.09266199,1.969678571,2.100665634,0.403949554
24.33116943,1.597141766,-2.114666341,0.264984304,2.131203983,2.143618677,0.410520805
24.34115259,1.83259069,-1.752047081,0.444070924,1.807447914,2.110819641,0.423111926
24.3511355,2.046526287,-1.312938456,0.283542801,1.343206577,2.075092312,0.460639776
24.36111743,1.835401072,-1.54058752,0.206022704,1.554302178,2.087761384,0.441688719
24.37110059,1.376601657,-2.27305716,0.404316969,2.308735816,2.110439794,0.418953105
24.3810835,1.031997946,-2.501000824,0.865675457,2.646582536,2.109480399,0.418508662
24.39106641,0.527564944,-2.166831997,1.15829676,2.456992529,2.106890462,0.415244204
24.40104956,0.061950004,-1.908158265,1.299029465,2.308364251,2.081449172,0.400548356
24.41103247,-0.041610981,-1.985522075,1.486205357,2.480141986,1.988297391,0.443011499
24.42101538,0.020350641,-1.986508748,1.345357501,2.399208997,1.839116799,0.499805454
24.43099756,0.055842664,-1.59188633,0.847040315,1.803213626,1.739602197,0.476926821
24.44098047,-0.440121748,-1.323179864,0.593465659,1.450174624,1.660279452,0.523446661
24.45096338,-1.305779816,-1.207157529,0.838670838,1.469897301,1.705004836,0.522690739
24.46094653,-2.362421351,-1.218362229,1.299177349,1.781086271,1.798965556,0.555411032
24.47092944,-2.509692664,-1.295699736,1.899267102,2.299141869,1.828739537,0.561600524
24.4809126,-1.860395228,-1.130761687,2.364182369,2.620683168,1.759416249,0.54168897
